Period;Sales_quantity
01.01.2015;12729
01.02.2015;11636
01.03.2015;15922
01.04.2015;15227
01.05.2015;8620
01.06.2015;13160
01.07.2015;17254
01.08.2015;8642
01.09.2015;16144
01.10.2015;18135
01.11.2015;10841
01.12.2015;22113
01.01.2016;15365
01.02.2016;13153
01.03.2016;18339
01.04.2016;13909
01.05.2016;8553
01.06.2016;15101
01.07.2016;15695
01.08.2016;8314
01.09.2016;17764
01.10.2016;18969
01.11.2016;13433
01.12.2016;27029
01.01.2017;16889
01.02.2017;15864
01.03.2017;22786
01.04.2017;17910
01.05.2017;10777
01.06.2017;18799
01.07.2017;17899
01.08.2017;9649
01.09.2017;20159
01.10.2017;19519
01.11.2017;15360
01.12.2017;30833
01.01.2018;19812
01.02.2018;18424
01.03.2018;29004
01.04.2018;22033
01.05.2018;14959
01.06.2018;23067
01.07.2018;18397
01.08.2018;12045
01.09.2018;23358
01.10.2018;22644
01.11.2018;19765
01.12.2018;33207
01.01.2019;24096
01.02.2019;21624
01.03.2019;33379
01.04.2019;22265
01.05.2019;16967
01.06.2019;24958
01.07.2019;21917
01.08.2019;14431
01.09.2019;23253
01.10.2019;
01.11.2019;
01.12.2019;
01.01.2020;
01.02.2020;
01.03.2020;
01.04.2020;
