Month;Value
янв.16;216,37
фев.16;238,01
мар.16;273,71
апр.16;260,03
май.16;266,53
июн.16;305,51
июл.16;213,86
авг.16;218,13
сен.16;239,94
окт.16;223,15
ноя.16;249,93
дек.16;524,85
янв.17;217,73
фев.17;239,5
мар.17;275,42
апр.17;261,65
май.17;267,5
июн.17;307,6
июл.17;215,32
авг.17;219,63
сен.17;291,59
окт.17;224,08
ноя.17;250,97
дек.17;479,53
янв.18;230,916
фев.18;254,0055
мар.18;292,0995
апр.18;277,494
май.18;284,7705
июн.18;327,474
июл.18;229,236
авг.18;233,8245
сен.18;257,208
окт.18;239,2005
ноя.18;267,9075
дек.18;564,312
янв.19;242,1576
фев.19;266,4
мар.19;306,36
апр.19;291,042
май.19;297,5577
июн.19;342,1908
июл.19;239,538
авг.19;244,3332
сен.19;318,7643
окт.19;249,9498
ноя.19;279,942
дек.19;561,363
янв.20;249,182
фев.20;274,1025
мар.20;315,215
апр.20;299,46
май.20;306,6015
июн.20;352,5785
июл.20;246,8015
авг.20;251,735
сен.20;276,9085
окт.20;256,5995
ноя.20;287,3965
дек.20;614,2851
янв.21;254,1357
фев.21;279,5481
мар.21;321,4692
апр.21;304,2234
май.21;311,0094
июн.21;357,6573
июл.21;250,38
авг.21;255,3876
сен.21;327,9287
окт.21;260,3835
ноя.21;291,6342
дек.21;577,609
янв.22;266,7408
фев.22;293,41
мар.22;337,4154
апр.22;320,5428
май.22;328,1678
июн.22;377,3948
июл.22;264,1788
авг.22;269,4614
сен.22;296,46
окт.22;275,781
ноя.22;308,8796
дек.22;651,6508
янв.23;273,5453
фев.23;302,1711
мар.23;347,4974
апр.23;330,1238
май.23;336,7278
июн.23;387,2357
июл.23;271,0688
авг.23;276,4917
сен.23;358,1396
окт.23;282,8544
ноя.23;316,2935
дек.23;611,083
янв.24;294,138
фев.24;
мар.24;
апр.24;
май.24;
июн.24;
июл.24;
авг.24;
сен.24;
окт.24;
ноя.24;
дек.24;
янв.25;
фев.25;
мар.25;
апр.25;
май.25;
июн.25;
июл.25;
авг.25;
сен.25;
окт.25;
ноя.25;
дек.25;
