YYMMDD;PRICE
220103;346.13
220110;335.76
220117;311.6
220124;329.58
220131;324.6
220207;318.1
220214;309.48
220221;228
220321;227
220328;251.4
220404;241.07
220411;224
220418;208
220425;240.4
220502;240.1
220509;235.52
220516;263
220523;294.5
220530;297
220606;309.2
220613;315.5
220620;296
220627;192.5
220704;198
220711;187.61
220718;192.25
220725;195.26
220801;176.58
220808;174.36
220815;177.6
220822;183.62
220829;252.8
220905;245.34
220912;243.8
220919;224.84
220926;217.7
221003;195.15
221010;159.6
221017;166.99
221024;170.73
221031;169.14
221107;169.86
221114;168.79
221121;169.03
221128;165.86
221205;162.75
221212;160.24
221219;160.89
221226;162.56
230102;162.1
230109;164.56
230116;158.85
230123;159.08
230130;160.87
230206;158.68
230213;153.62
230220;154.22
230227;162.27
230306;160.04
230313;163.29
230320;169.03
230327;169.83
230403;173.09
230410;179.5
230417;181.72
230424;181.13
230501;172.09
230508;173.95
230515;174.43
230522;164.48
230529;162.58
230605;165.58
230612;169.87
230619;165.8
230626;166.86
230703;166.34
230710;169.7
230717;171.19
230724;171.44
230731;173.46
230807;176.35
230814;175.48
230821;174.7
230828;178.22
230904;175.95
230911;173.79
230918;166.7
230925;167.09
231002;166.59
231009;170.2
231016;171.39
231023;167.26
231030;169.19
231106;168.25
231113;165.31
231120;164.71
231127;162.61
231204;161.5
231211;164.2
231218;162.09
231225;159.52
240101;161.94
240108;163.37
240115;165.9
240122;163.99
240129;164.4
240205;163.23
240212;161.19
240219;158.12
240226;161.34
240304;160.91
240311;160.86
240318;156.44
240325;157.22
240401;163.59
240408;164.83
240415;167.03
240422;164.06
240429;155.2
240506;154.58
240513;155.17
240520;133.34
240527;126.46
240603;122.78
240610;121.65
240617;115.4
240624;115.94
240701;126.74
240708;119.65
240715;130.88
240722;135
240729;131.45
240805;128.64
240812;126.36
240819;116.81
240826;122.97
240902;123
240909;119.91
240916;122.4
240923;140.5
240930;133.32
241007;131.82
241014;135.67
241021;133
241028;128.7
241104;135.9
241111;133.37
241118;119.47
241125;124.29
241202;114.99
241209;112.86
241216;115.24
241223;129.6
241230;128.66
250106;
250113;
250120;
250127;
250203;
250210;
250217;
250224;
250303;
250310;
250317;
250324;
250331;
250407;
250414;
250421;
250428;
250505;
250512;
250519;
250526;
250602;
250609;
